,0
codecommune,01001
inscrits,598.0
pvoteppar,0.84615386
pvotepvoteD,0.3369697
pvotepvoteG,0.1369697
pvotepvoteCG,0.060202017
pvotepvoteCD,0.22383839
pvotepvoteC,0.2420202
pvotepvoteTD,0.68181819
pvotepvoteTG,0.31818181
pvotepvoteGCG,0.19717173
pvotepvoteDCD,0.56080812
pvotepreviousppar,0.8581081
pvotepreviouspreviousppar,0.88590604
pvotepreviouspvoteD,0.26132265
pvotepreviouspreviouspvoteD,0.16168582
pvotepreviouspvoteG,0.058917835
pvotepreviouspreviouspvoteG,0.060153257
pvotepreviouspvoteCG,0.2513026
pvotepreviouspreviouspvoteCG,0.21149425
pvotepreviouspvoteCD,0.31943887
pvotepreviouspreviouspvoteCD,0.56206894
pvotepreviouspvoteC,0.10901804
pvotepreviouspreviouspvoteC,0.0045977011
pvotepreviouspvoteTD,0.63527054
pvotepreviouspreviouspvoteTD,0.72605366
pvotepreviouspvoteTG,0.36472946
pvotepreviouspreviouspvoteTG,0.27394637
pvotepreviouspvoteGCG,0.31022045
pvotepreviouspreviouspvoteGCG,0.27164751
pvotepreviouspvoteDCD,0.58076149
pvotepreviouspreviouspvoteDCD,0.72375476
dep,01
agesexcommunes/popf014,99.0
agesexcommunes/popf1539,68.0
agesexcommunes/popf4059,132.0
agesexcommunes/popf60p,81.0
agesexcommunes/poph014,61.0
agesexcommunes/poph1539,98.0
agesexcommunes/poph4059,150.0
agesexcommunes/poph60p,73.0
agesexcommunes/agef,41.094738
agesexcommunes/ageh,42.116623
agesexcommunes/popf,380.0
agesexcommunes/poph,382.0
agesexcommunes/propf,0.49868765
agesexcommunes/age,41.607021
agesexcommunes/pop,762.0
agesexcommunes/propf014,0.61874998
agesexcommunes/propf1539,0.40963855
agesexcommunes/propf4059,0.46808511
agesexcommunes/propf60p,0.52597404
agesexcommunes/prop014,0.20997375
agesexcommunes/prop1539,0.21784776
agesexcommunes/prop4059,0.37007874
agesexcommunes/prop60p,0.20209974
agesexcommunes/perpropf,0.17152649
agesexcommunes/perage,0.61099899
agesexcommunes/perprop014,0.78855646
agesexcommunes/perprop60p,0.23969197
agesexdepartements/popf,327327.0
agesexdepartements/poph,318726.0
agesexdepartements/popf014,62973.0
agesexdepartements/popf1539,92901.0
agesexdepartements/popf4059,90460.0
agesexdepartements/popf60p,80993.0
agesexdepartements/poph014,65856.0
agesexdepartements/poph1539,94860.0
agesexdepartements/poph4059,90017.0
agesexdepartements/poph60p,67993.0
agesexdepartements/agef,40.85465664232765
agesexdepartements/ageh,38.63468132369243
agesexdepartements/age,39.75944630241128
agesexdepartements/pop,646053.0
agesexdepartements/propf,0.50665659
agesexdepartements/propf014,0.48881075
agesexdepartements/propf1539,0.49478325
agesexdepartements/propf4059,0.50122732
agesexdepartements/propf60p,0.54362828
agesexdepartements/prop014,0.19940934
agesexdepartements/prop1539,0.29062787
agesexdepartements/prop4059,0.27935323
agesexdepartements/prop60p,0.23060957
cspcommunes/agri,3.0
cspcommunes/indp,23.0
cspcommunes/cadr,47.0
cspcommunes/pint,44.0
cspcommunes/empl,85.0
cspcommunes/ouvr,104.0
cspcommunes/chom,26.0
cspcommunes/aind,26.0
cspcommunes/aica,73.0
cspcommunes/ouem,189.0
cspcommunes/capi,91.0
cspcommunes/pact,306.0
cspcommunes/pagri,0.0098039219
cspcommunes/pindp,0.075163402
cspcommunes/pcadr,0.15359478
cspcommunes/ppint,0.14379086
cspcommunes/pempl,0.27777779
cspcommunes/pouvr,0.33986929
cspcommunes/paind,0.084967323
cspcommunes/paica,0.23856211
cspcommunes/pouem,0.61764705
cspcommunes/pcapi,0.29738563
cspcommunes/pchom,0.084967323
cspcommunes/peragri,0.76200467
cspcommunes/perindp,0.7630617
cspcommunes/percadr,0.53560358
cspcommunes/perpint,0.032796934
cspcommunes/perempl,0.47124764
cspcommunes/perouvr,0.90393722
cspcommunes/perchom,0.56037194
cspcommunes/peraind,0.73498601
cspcommunes/peraica,0.54874229
cspcommunes/perouem,0.84251159
cspcommunes/percapi,0.15607621
rsacommunes/nrsa,
rsacommunes/nfoyerrsa,
rsacommunes/prsa,
rsacommunes/perrsa,
rsacommunes/pop,
basesfiscalescommunes/baseimpotslocauxratio,0.66304189
basesfiscalescommunes/recetteimpotslocauxratio,0.44754142
basesfiscalescommunes/tauximpotslocauxratio,0.67498213
basesfiscalescommunes/recetteratio,0.49674922
basesfiscalescommunes/baseimpotslocauxtot,1406150.0
basesfiscalescommunes/recetteimpotslocauxtot,172482.0
basesfiscalescommunes/tauximpotslocaux,0.12266258
basesfiscalescommunes/recettetot,478000.0
basesfiscalescommunes/baseimpotslocaux,1812.0491
basesfiscalescommunes/recetteimpotslocaux,222.27061
basesfiscalescommunes/recettefoncieretot,77291.0
basesfiscalescommunes/recettehabitationtot,95191.0
basesfiscalescommunes/recette,608.91718
basesfiscalescommunes/recettefonciere,99.601807
basesfiscalescommunes/recettehabitation,122.66882
basesfiscalescommunes/recettefonciereratio,0.37084845
basesfiscalescommunes/recettehabitationratio,0.53747368
basesfiscalescommunes/basehabitationratio,0.80609429
basesfiscalescommunes/basefonciereratio,0.51745361
basesfiscalescommunes/tauxhabitationratio,0.66676283
basesfiscalescommunes/tauxfoncierratio,0.71667963
basesfiscalescommunes/basehabitationtot,860652.0
basesfiscalescommunes/basefoncieretot,545498.0
basesfiscalescommunes/tauxhabitation,0.11060335
basesfiscalescommunes/tauxfoncier,0.14168888
basesfiscalescommunes/basehabitation,1109.0876
basesfiscalescommunes/basefonciere,702.96136
basesfiscalescommunes/pop,776.0
basesfiscalesdepartements/basehabitationratio,0.98050809
basesfiscalesdepartements/basefonciereratio,0.95589042
basesfiscalesdepartements/baseimpotslocauxratio,0.96559465
basesfiscalesdepartements/basehabitation,0.0097589474
basesfiscalesdepartements/basefonciere,0.0095139295
basesfiscalesdepartements/baseimpotslocaux,0.0096119381
basesfiscalesdepartements/pop,643350.0
basesfiscalesdepartements/recettehabitationratio,0.75969142
basesfiscalesdepartements/recettefonciereratio,0.71162522
basesfiscalesdepartements/recettehabitation,0.0075710774
basesfiscalesdepartements/recettefonciere,0.0070920503
basesfiscalesdepartements/tauxhabitationratio,0.77488953
basesfiscalesdepartements/tauxfonciereratio,0.74458563
basesfiscalesdepartements/recetteimpotslocauxratio,0.73369825
basesfiscalesdepartements/tauximpotslocauxratio,0.75984085
basesfiscalesdepartements/recetteimpotslocaux,0.0073120296
basesfiscalesdepartements/recetteratio,0.78738385
basesfiscalesdepartements/recette,0.0078470595
capitalimmobiliercommunes/capitalratio,1.1047655
capitalimmobiliercommunes/capitalratioagglo,1.10467
capitalimmobiliercommunes/capitalimmo,1.3264413e-05
capitalimmobiliercommunes/capitalimmoagglo,1.32644127007e-05
capitalimmobiliercommunes/prixbien,212879.48
capitalimmobiliercommunes/surfaceterrain,821.31128
capitalimmobiliercommunes/pop,776.0
capitalimmobiliercommunes/percapagglo,0.65811574
capitalimmobiliercommunes/surface,108.96581
capitalimmobiliercommunes/propappartementdep,0.38480532
capitalimmobiliercommunes/propappartement,0.0
capitalimmobiliercommunes/prixm2,1953.6355
capitalimmobiliercommunes/prixm2ratio,0.72004724
capitalimmobiliercommunes/percap,0.6984334
capitalimmobilierdepartements/capitalratio,1.1329596
capitalimmobilierdepartements/capitalimmo,0.01127629
capitalimmobilierdepartements/prixbien,218312.27
capitalimmobilierdepartements/prixm2ratio,0.012461646
capitalimmobilierdepartements/prixm2,2401.2595
capitalimmobilierdepartements/surface,94.05622600109707
capitalimmobilierdepartements/surfaceterrain,411.4644816236972
capitalimmobilierdepartements/propappartement,0.38480532
capitalimmobilierdepartements/pop,643350.0
isfcommunes/nfoyisf,
isfcommunes/mmoyfortune,
isfcommunes/pisf,
isfcommunes/perpisf,
isfcommunes/misf,
isfcommunes/permisf,
isfcommunes/pop,
diplomescommunes/nodiph,159.0
diplomescommunes/bach,52.0
diplomescommunes/suph,71.0
diplomescommunes/nodipf,156.0
diplomescommunes/bacf,52.0
diplomescommunes/supf,64.0
diplomescommunes/nodip,316.0
diplomescommunes/bac,104.0
diplomescommunes/sup,135.0
diplomescommunes/pbac,0.43063062
diplomescommunes/perbac,0.41552532
diplomescommunes/psup,0.24324325
diplomescommunes/persup,0.35420486
diplomesdepartements/nodiph,121772.0
diplomesdepartements/nodipf,122133.0
diplomesdepartements/nodip,243898.0
diplomesdepartements/bach,34788.0
diplomesdepartements/bacf,39674.0
diplomesdepartements/bac,74437.0
diplomesdepartements/suph,60000.0
diplomesdepartements/supf,69228.0
diplomesdepartements/sup,129205.0
diplomesdepartements/pbac,0.45502526
diplomesdepartements/psup,0.28870046
etrangerscommunes/etranger,8.0
etrangerscommunes/francais,768.0
etrangerscommunes/peretranger,0.11931538
etrangerscommunes/petranger,0.010309278
naticommunes/petranger,0.010309278
naticommunes/peretr,0.11923798
naticommunes/pop,776.0
naticommunes/francais,768.0
naticommunes/etranger,8.0
naticommunes/immigre,20.0
naticommunes/pimmigre,0.025773196
naticommunes/immnatur,12.0
naticommunes/pimmnatur,0.015463918
naticommunes/perimmigre,0.19057539
naticommunes/natur,19.0
naticommunes/pnatur,0.024484536
naticommunes/pnaturfra,0.024739584
natidepartements/etranger,56158.0
natidepartements/francais,587192.0
natidepartements/petranger,0.087289967
natidepartements/pop,643350.0
proprietairescommunes/ppropri,0.8215223
proprietairescommunes/nlogement,381.0
proprietairescommunes/npropri,313.0
proprietairescommunes/perpropri,0.8804943
pibcommunes/perpibratio,0.34681249
pibcommunes/pibratio,0.75081557
pibcommunes/pibtot,8.8151164e-06
pibcommunes/pop,762.0
pibdepartements/pibhab,0.73344219
pibdepartements/pib,0.0072999126
pibdepartements/pop,643350.0
revcommunes/revratio,1.0709591
revcommunes/revtot,1.25738322083e-05
revcommunes/revtotagglo,1.25738322083e-05
revcommunes/revratioagglo,1.0669416
revcommunes/perrevagglo,0.68969381
revcommunes/revratioadu,1.0889742
revcommunes/revratiofoy,1.0948793
revcommunes/pop,762.0
revcommunes/nadult,569.0
revcommunes/nfoyer,424.0
revcommunes/revmoy,19859.061
revcommunes/revmoyadu,26595.084
revcommunes/revmoyfoy,35690.102
revcommunes/perrevfoy,0.74981666
revcommunes/perrevadu,0.74326605
revcommunes/perrev,0.71913785
revdepartements/revratio,1.0448838
revdepartements/revratioadu,1.0705023
revdepartements/revratiofoy,1.1140202
revdepartements/revtot,0.010399676
revdepartements/pop,643350.0
revdepartements/nadult,479327.0
revdepartements/nfoyer,345087.0
revdepartements/revmoyfoy,36314.047
revdepartements/revmoyadu,26143.959
revdepartements/revmoy,19383.492
revimpdepartements/imprev,0.85480684
revimpdepartements/foyimp,0.4261353
revimpdepartements/revimp,0.99068695
revimpdepartements/pop,643350.0
revimpdepartements/popcom2u,0.6245434056112535
revimpdepartements/popcom5u,0.3519157534778892
revimpdepartements/popcom10u,0.1866386881168882
revimpdepartements/popcoma,7301.711735447268
revimpdepartements/revimpevimp,
revimpdepartements/foyimpoyimp,
revimpdepartements/imprevmprev,
popcommunes/popagglo,776.0
popcommunes/pop,776.0
popcommunes/percommu,0.10799854
popcommunes/peragglo,0.10015569
popcommuneselecteurs/electeurs,574.48822
popcommunesvbbm/vbbm,1.0
popcommunesvbbm/vbbmpauvresriches,2.0
popcommunesvbbm/vbbmpauvresrichescap,2.0
popdepartements/pop,643350.0
popdepartements/popcom2u,0.6245434056112535
popdepartements/popcom5u,0.3519157534778892
popdepartements/popcom10u,0.1866386881168882
popdepartements/popcoma,7301.711735447268
lat,4.925824162076881
long,46.153594907736796
poll_pvoteD,29.98262857142857
poll_pvoteG,12.875028571428572
poll_pvoteCG,3.576457142857143
poll_pvoteCD,8.641457142857144
poll_pvoteC,11.108028571428571
poll_pvoteTD,44.1781
poll_pvoteTG,22.005499999999998
poll_pvoteGCG,14.663257142857141
poll_pvoteDCD,34.30335714285714
crimesdelitscommunes/pvolsvoitures,0.0024238497
empfoncommunes/dis,5.0300741
crimesdelitscommunes/pcrimesdelits,0.015171743
crimesdelitscommunes/pautresvols,0.0050680493
empfoncommunes/pfab,0.0
crimesdelitscommunes/nviolences,3.099999964237213
empfoncommunes/emp,103.26272
pibdepartements/emploi,210310.0
crimesdelitscommunes/pcambriolages,0.003661698
crimesdelitscommunes/nautresvols,3.909999966621399
empfoncommunes/pres,0.14526056
empfoncommunes/prep,0.095172547
empfoncommunes/rep,9.827776
crimesdelitscommunes/ncrimesdelits,11.7049999833107
crimesdelitscommunes/pop,771.5
empfoncommunes/pedu,0.032606192
empfoncommunes/loi,5.0
empfoncommunes/tra,5.0
empfoncommunes/cre,0.0
crimesdelitscommunes/percrimesdelits,0.26070473
crimesdelitscommunes/nvolsvoitures,1.870000004768372
empfoncommunes/padm,0.048139941
emploicommunes/empexp,35.0
emploicommunes/emp,103.26272
empfoncommunes/bag,10.0
empfoncommunes/psan,0.14526056
empfoncommunes/res,15.0
empfoncommunes/agr,15.0
empfoncommunes/pcie,0.048420187
crimesdelitscommunes/perviolences,0.29214543
empfoncommunes/ptra,0.048420187
empfoncommunes/pcre,0.0
empfoncommunes/pcon,0.0
crimesdelitscommunes/ncambriolages,2.825000047683716
empfoncommunes/pbag,0.096840374
empfoncommunes/fab,0.0
emploicommunes/empres,68.262718
crimesdelitscommunes/pervolsvoitures,0.54551148
empfoncommunes/pagr,0.14526056
crimesdelitscommunes/perautresvols,0.18634509
empfoncommunes/btp,10.066806
crimesdelitscommunes/percambriolages,0.54019505
empfoncommunes/ploi,0.048420187
empfoncommunes/san,15.0
crimesdelitscommunes/pviolences,0.0040181465
empfoncommunes/pbtp,0.097487323
empfoncommunes/edu,3.3670042
empfoncommunes/adm,4.9710612
empfoncommunes/con,0.0
empfoncommunes/pdis,0.048711423
empfoncommunes/cie,5.0
annee,2017
type,0
revcommunes/revdep,
naticommunes/etraxeur,
naticommunes/etranalg,
naticommunes/etraeuro,
religiositecommunes/ncantonseco,
publicprivecommunes2021/ncantontotal,
publicprivecommunes2021/ncantonlgt_pu,
publicprivecommunes2021/perprivecomm,
publicprivecommunes2021/prive_elem,
publicprivecommunes2021/ncantontotal_pr,
publicprivecommunes2021/ncantonlgt,
publicprivecommunes2021/nelem_pr,
publicprivedepartements/ndeptotal,
publicprivecommunes2021/ncantonseco,
publicprivecommunes2021/nlpro_pr,
publicprivecommunes2021/prive_prim,
publicprivedepartements/ndeplgt,
publicprivecommunes2021/perpriveseco,
publicprivecommunes2021/ncantonprim,
publicprivecommunes2021/ncantonprim_pu,
publicprivecommunes2021/nelem_pu,
publicprivedepartements/ndepclg,
publicprivecommunes2021/ncantonclg,
publicprivecommunes2021/perprivesecocomm,
publicprivecommunes2021/ntotal,
publicprivecommunes2021/nseco,
publicprivedepartements/ndepseco,
publicprivecommunes2021/privecanton_elem,
publicprivecommunes2021/privecanton_lpro,
publicprivecommunes2021/ncantonseco_pu,
publicprivecommunes2021/ncantonclg_pr,
publicprivecommunes2021/perprive,
publicprivecommunes2021/ncantontotal_pu,
publicprivecommunes2021/npreelem_pu,
publicprivecommunes2021/privecanton_lgt,
publicprivecommunes2021/ncantonlpro,
publicprivedepartements/ndeplpro,
publicprivecommunes2021/ncantonelem,
publicprivecommunes2021/nlgt_pr,
publicprivecommunes2021/ncantonlgt_pr,
publicprivedepartements/ndepelem,
publicprivecommunes2021/privecanton_seco,
publicprivecommunes2021/ncantonseco_pr,
publicprivecommunes2021/ntotal_pr,
publicprivecommunes2021/npreelem_pr,
publicprivecommunes2021/prive_seco,
publicprivecommunes2021/nseco_pu,
publicprivecommunes2021/ncantonpreelem_pu,
publicprivecommunes2021/nlgt_pu,
publicprivecommunes2021/privecanton_total,
publicprivecommunes2021/prive_total,
publicprivecommunes2021/prive_clg,
publicprivecommunes2021/prive_lpro,
publicprivecommunes2021/nseco_pr,
publicprivecommunes2021/ncantonlpro_pr,
publicprivecommunes2021/nprim_pu,
publicprivecommunes2021/privecanton_preelem,
publicprivecommunes2021/nlpro_pu,
publicprivecommunes2021/prive_lgt,
publicprivecommunes2021/prive_preelem,
publicprivecommunes2021/ntotal_pu,
publicprivecommunes2021/npreelem,
publicprivecommunes2021/privecanton_prim,
publicprivecommunes2021/nprim,
publicprivecommunes2021/nlpro,
publicprivecommunes2021/ncantonelem_pr,
publicprivecommunes2021/nprim_pr,
publicprivedepartements/ndeppreelem,
religiositecommunes/ncantonprim,
publicprivecommunes2021/ncantonelem_pu,
publicprivecommunes2021/ncantonprim_pr,
publicprivecommunes2021/ncantonpreelem,
publicprivecommunes2021/nelem,
publicprivecommunes2021/ncantonlpro_pu,
publicprivecommunes2021/nclg,
publicprivedepartements/ndepprim,
publicprivecommunes2021/nlgt,
publicprivecommunes2021/nclg_pr,
publicprivecommunes2021/ncantonpreelem_pr,
publicprivecommunes2021/privecanton_clg,
publicprivecommunes2021/nclg_pu,
publicprivecommunes2021/ncantonclg_pu,
naticommunes/franatur,
naticommunes/franaiss,
naticommunes/petranalg,
terrescommunes/surface50p_,
terrescommunes/surface_,
terrescommunes/nexploit50p_,
terrescommunes/surfacecanton_,
terrescommunes/nomcanton_,
terrescommunes/pexploit50p1968_,
terrescommunes/nexploit50p1968_,
terrescommunes/pexploit50p_,
terrescommunes/nexploit_,
terrescommunes/surface50pcanton_,
terrescommunes/persur50pc_,
naticommunes/frarapat,
terrescommunes/psurface50pcanton_,
terrescommunes/surface1968_,
terrescommunes/persur50p_,
terrescommunes/nexploit50pcanton_,
terrescommunes/surface50p1968_,
terrescommunes/pexploit50pcanton_,
terrescommunes/nexploit1968_,
terrescommunes/psurface50p1968_,
terrescommunes/psurface50p_,
terrescommunes/nexploitcanton_,
menagescommunes/nmencomp_,
menagescommunes/permencomp_,
menagescommunes/pmencomp_,
menagescommunes/nmen_,
menagescommunes/plm_,
religiositedepartements/pmessalisants,
dep_num,1.0
